Year,ration[NCA],Cotton_r_NSA,GN_r_NSA,Cotton_IR,Cotton_BM_yield,GN_BM_Yield,Wheat_BM_yield,Cotton_BM_yield-lint,irrigated_holdings,Cotton/NSA_wocd,Cotton/NSA_cd
1983,0.965501987,0.209808058,0.246428469,0.457383966,1.32,0.67,2.58,0.44,17585,0.0256,0.0256
1984,0.998415282,0.251570342,0.256461445,0.432035268,1.2,0.58,2.5,0.4,16610,0.0388,0.0388
1985,0.958837725,0.277907008,0.251545812,0.490168539,1.2,0.58,2.5,0.4,18845,0.052,0.052
1986,0.96454995,0.286560372,0.264764998,0.491034483,1.14,0.86,2.58,0.38,18878,0.0652,0.0652
1987,0.840921085,0.23188328,0.259273571,0.4475,1.14,0.89,2.54,0.38,17205,0.0784,0.0784
1988,0.988078875,0.275903988,0.239842775,0.604947526,1.14,0.89,2.67,0.38,23258,0.0916,0.0916
1989,1.005079544,0.224113209,0.216956806,0.582945736,1.23,1.14,2.73,0.41,22412,0.1048,0.1048
1990,0.979102522,0.180753026,0.210006398,0.553592462,1.35,1.7,2.82,0.45,21283,0.118,0.118
1991,0.984270725,0.172130525,0.185528959,0.57585825,1.35,1.7,2.66,0.45,22140,0.1312,0.1312
1992,1.005759571,0.19713124,0.185010936,0.766246363,1.47,1.7,2.92,0.49,29459,0.1444,0.1444
1993,1.01895209,0.153516797,0.195292109,0.651972158,1.53,1.7,3.08,0.51,25066,0.1576,0.1576
1994,1.011471796,0.221523091,0.212624115,0.671,1.71,1.7,3.3,0.57,25797,0.1708,0.1708
1995,0.983862709,0.23215889,0.227806838,0.710310966,1.8,1.7,3.44,0.6,27309,0.184,0.184
1996,1.018000052,0.258790559,0.253221667,0.746042216,2.04,1.7,3.41,0.68,28683,0.1972,0.1972
1997,0.966726035,0.273044856,0.263409838,0.716272601,2.07,1.7,3.26,0.69,27538,0.2104,0.2104
1998,1.002903458,0.280590937,0.281303661,0.755062051,2.22,1.7,3.3,0.74,29029,0.2236,0.2236
1999,0.990390966,0.272463948,0.293232317,0.769076305,2.31,1.7,3.13,0.77,29568,0.2368,0.2368
2000,0.972846276,0.321628006,0.296819748,0.793351801,2.28,1.7,2.89,0.76,30501,0.25,0.25
2001,1.00344748,0.318433835,0.303073751,0.688581315,3.48,1.7,3.08,1.16,26473,0.2632,0.2632
2002,1.012015817,0.290982012,0.313685103,0.854014599,3.39,1.7,3.05,1.13,32834,0.2764,0.2807
2003,1.037992839,0.311860953,0.322659465,0.828078525,3.45,1.7,3.17,1.15,31837,0.2896,0.2982
2004,1.036904796,0.32552071,0.345770748,0.737179487,3.27,2.22,3.37,1.09,28342,0.3028,0.3157
2005,1.038899995,0.366499815,0.371781513,0.808597285,3.18,2.18,3.59,1.06,31088,0.316,0.3332
2006,1.041303209,0.433990247,0.386965304,0.912258065,2.97,2.11,3.44,0.99,35073,0.3292,0.3507
2007,1.04411308,0.42103584,0.40960919,0.923349894,2.76,2.11,3.62,0.92,35500,0.3424,0.3682
2008,1.019904127,0.387779907,0.441573719,0.9,2.55,2.06,3.69,0.85,34602,0.3556,0.3857
2009,1.044249085,0.438740141,0.469522751,0.936629526,2.52,2.06,3.76,0.84,36010,0.3688,0.4032
2010,1.072973363,0.526322462,0.483567169,0.937517512,2.46,2.03,3.72,0.82,36044,0.382,0.4207
2011,1.067593243,0.573735407,0.483906188,0.872642728,2.58,2.61,3.92,0.86,33550,0.3952,0.4382
2012,0.986578667,0.49125793,0.497740633,0.937642834,2.58,2.05,3.99,0.86,36049,0.4084,0.4557
2013,1.125583117,0.389474999,0.506816029,0.884837545,2.64,2.06,3.91,0.88,34019,0.4216,0.4732
2014,1.089746076,0.507912369,0.490086184,0.884070013,2.64,2.06,3.9,0.88,33989,0.4348,0.4907
2015,1.246870435,0.571699438,0.489695602,0.869452707,2.64,2.06,4.01,0.88,33427,0.448,0.5082
