day,cotton,groundnut,wheat,fallow,stage,stage,stage
15-Jun,0.4,0.5,0,1,s1,s1,
16-Jun,0.4,0.5,0,1,s1,s1,
17-Jun,0.4,0.5,0,1,s1,s1,
18-Jun,0.4,0.5,0,1,s1,s1,
19-Jun,0.4,0.5,0,1,s1,s1,
20-Jun,0.4,0.5,0,1,s1,s1,
21-Jun,0.4,0.5,0,1,s1,s1,
22-Jun,0.4,0.5,0,1,s1,s1,
23-Jun,0.4,0.5,0,1,s1,s1,
24-Jun,0.4,0.5,0,1,s1,s1,
25-Jun,0.4,0.5,0,1,s1,s1,
26-Jun,0.4,0.5,0,1,s1,s1,
27-Jun,0.4,0.5,0,1,s1,s1,
28-Jun,0.4,0.5,0,1,s1,s1,
29-Jun,0.4,0.5,0,1,s1,s1,
30-Jun,0.4,0.5,0,1,s1,s1,
01-Jul,0.4,0.5,0,1,s1,s1,
02-Jul,0.4,0.5,0,1,s1,s1,
03-Jul,0.4,0.5,0,1,s1,s1,
04-Jul,0.4,0.5,0,1,s1,s1,
05-Jul,0.4,0.5,0,1,s1,s1,
06-Jul,0.4,0.5,0,1,s1,s1,
07-Jul,0.4,0.5,0,1,s1,s1,
08-Jul,0.4,0.5,0,1,s1,s1,
09-Jul,0.4,0.5,0,1,s1,s1,
10-Jul,0.4,0.8,0,1,s2,s2,
11-Jul,0.4,0.8,0,1,s2,s2,
12-Jul,0.4,0.8,0,1,s2,s2,
13-Jul,0.4,0.8,0,1,s2,s2,
14-Jul,0.4,0.8,0,1,s2,s2,
15-Jul,0.7,0.8,0,1,s2,s2,
16-Jul,0.7,0.8,0,1,s2,s2,
17-Jul,0.7,0.8,0,1,s2,s2,
18-Jul,0.7,0.8,0,1,s2,s2,
19-Jul,0.7,0.8,0,1,s2,s2,
20-Jul,0.7,0.8,0,1,s2,s2,
21-Jul,0.7,0.8,0,1,s2,s2,
22-Jul,0.7,0.8,0,1,s2,s2,
23-Jul,0.7,0.8,0,1,s2,s2,
24-Jul,0.7,0.8,0,1,s2,s2,
25-Jul,0.7,0.8,0,1,s2,s2,
26-Jul,0.7,0.8,0,1,s2,s2,
27-Jul,0.7,0.8,0,1,s2,s2,
28-Jul,0.7,0.8,0,1,s2,s2,
29-Jul,0.7,0.8,0,1,s2,s2,
30-Jul,0.7,0.8,0,1,s2,s2,
31-Jul,0.7,0.8,0,1,s2,s2,
01-Aug,0.7,0.8,0,1,s2,s2,
02-Aug,0.7,0.8,0,1,s2,s2,
03-Aug,0.7,0.8,0,1,s2,s2,
04-Aug,0.7,0.8,0,1,s2,s2,
05-Aug,0.7,0.8,0,1,s2,s2,
06-Aug,0.7,0.8,0,1,s2,s2,
07-Aug,0.7,0.8,0,1,s2,s2,
08-Aug,0.7,0.8,0,1,s2,s2,
09-Aug,0.7,0.8,0,1,s2,s2,
10-Aug,0.7,0.8,0,1,s2,s2,
11-Aug,0.7,0.8,0,1,s2,s2,
12-Aug,0.7,0.8,0,1,s2,s2,
13-Aug,0.7,0.8,0,1,s2,s2,
14-Aug,0.7,1.1,0,1,s3,s3,
15-Aug,0.7,1.1,0,1,s3,s3,
16-Aug,0.7,1.1,0,1,s3,s3,
17-Aug,0.7,1.1,0,1,s3,s3,
18-Aug,0.7,1.1,0,1,s3,s3,
19-Aug,0.7,1.1,0,1,s3,s3,
20-Aug,0.7,1.1,0,1,s3,s3,
21-Aug,0.7,1.1,0,1,s3,s3,
22-Aug,0.7,1.1,0,1,s3,s3,
23-Aug,0.7,1.1,0,1,s3,s3,
24-Aug,0.7,1.1,0,1,s3,s3,
25-Aug,0.7,1.1,0,1,s3,s3,
26-Aug,0.7,1.1,0,1,s3,s3,
27-Aug,0.7,1.1,0,1,s3,s3,
28-Aug,0.7,1.1,0,1,s3,s3,
29-Aug,0.7,1.1,0,1,s3,s3,
30-Aug,0.7,1.1,0,1,s3,s3,
31-Aug,0.7,1.1,0,1,s3,s3,
01-Sep,0.7,1.1,0,1,s3,s3,
02-Sep,0.7,1.1,0,1,s3,s3,
03-Sep,1.05,1.1,0,1,s3,s3,
04-Sep,1.05,1.1,0,1,s3,s3,
05-Sep,1.05,1.1,0,1,s3,s3,
06-Sep,1.05,1.1,0,1,s3,s3,
07-Sep,1.05,1.1,0,1,s3,s3,
08-Sep,1.05,1.1,0,1,s3,s3,
09-Sep,1.05,1.1,0,1,s3,s3,
10-Sep,1.05,1.1,0,1,s3,s3,
11-Sep,1.05,1.1,0,1,s3,s3,
12-Sep,1.05,1.1,0,1,s3,s3,
13-Sep,1.05,1.1,0,1,s3,s3,
14-Sep,1.05,1.1,0,1,s3,s3,
15-Sep,1.05,1.1,0,1,s3,s3,
16-Sep,1.05,1.1,0,1,s3,s3,
17-Sep,1.05,1.1,0,1,s3,s3,
18-Sep,1.05,0.55,0,1,s4,s4,
19-Sep,1.05,0.55,0,1,s4,s4,
20-Sep,1.05,0.55,0,1,s4,s4,
21-Sep,1.05,0.55,0,1,s4,s4,
22-Sep,1.05,0.55,0,1,s4,s4,
23-Sep,1.05,0.55,0,1,s4,s4,
24-Sep,1.05,0.55,0,1,s4,s4,
25-Sep,1.05,0.55,0,1,s4,s4,
26-Sep,1.05,0.55,0,1,s4,s4,
27-Sep,1.05,0.55,0,1,s4,s4,
28-Sep,1.05,0.55,0,1,s4,s4,
29-Sep,1.05,0.55,0,1,s4,s4,
30-Sep,1.05,0.55,0,1,s4,s4,
01-Oct,1.05,0.55,0,1,s4,s4,
02-Oct,1.05,0.55,0,1,s4,s4,
03-Oct,1.05,0.55,0,1,s4,s4,
04-Oct,1.05,0.55,0,1,s4,s4,
05-Oct,1.05,0.55,0,1,s4,s4,
06-Oct,1.05,0.55,0,1,s4,s4,
07-Oct,1.05,0.55,0,1,s4,s4,
08-Oct,1.05,0.55,0,1,s4,s4,
09-Oct,1.05,0.55,0,1,s4,s4,
10-Oct,1.05,0.55,0,1,s4,s4,
11-Oct,1.05,0.55,0,1,s4,s4,
12-Oct,1.05,0.55,0,1,s4,s4,
13-Oct,1.05,0,0,1,s4,,
14-Oct,1.05,0,0,1,s4,,
15-Oct,1.05,0,0,1,s4,,
16-Oct,1.05,0,0,1,s4,,
17-Oct,1.05,0,0,1,s4,,
18-Oct,1.05,0,0,1,s4,,
19-Oct,1.05,0,0,1,s4,,
20-Oct,1.05,0,0,1,s4,,
21-Oct,1.05,0,0,1,s4,,
22-Oct,1.05,0,0,1,s4,,
23-Oct,1.05,0,0,1,s4,,
24-Oct,1.05,0,0,1,s4,,
25-Oct,1.05,0,0,1,s4,,
26-Oct,1.05,0,0,1,s4,,
27-Oct,1.05,0,0,1,s4,,
28-Oct,1.05,0,0,1,s4,,
29-Oct,1.05,0,0,1,s4,,
30-Oct,1.05,0,0,1,s4,,
31-Oct,1.05,0,0,1,s4,,
01-Nov,1.05,0,0,1,s4,,
02-Nov,0.65,0,0,1,s4,,
03-Nov,0.65,0,0,1,s4,,
04-Nov,0.65,0,0,1,s4,,
05-Nov,0.65,0,0,1,s4,,
06-Nov,0.65,0,0,1,s4,,
07-Nov,0.65,0,0,1,s4,,
08-Nov,0.65,0,0,1,s4,,
09-Nov,0.65,0,0,1,s4,,
10-Nov,0.65,0,0,1,s4,,
11-Nov,0.65,0,0,1,s4,,
12-Nov,0.65,0,0,1,s4,,
13-Nov,0.65,0,0,1,s4,,
14-Nov,0.65,0,0,1,s4,,
15-Nov,0.65,0,0.4,1,s4,,s1
16-Nov,0.65,0,0.4,1,s4,,s1
17-Nov,0.65,0,0.4,1,s4,,s1
18-Nov,0.65,0,0.4,1,s4,,s1
19-Nov,0.65,0,0.4,1,s4,,s1
20-Nov,0.65,0,0.4,1,s4,,s1
21-Nov,0.65,0,0.4,1,s4,,s1
22-Nov,0.65,0,0.4,1,s4,,s1
23-Nov,0.65,0,0.4,1,s4,,s1
24-Nov,0.65,0,0.4,1,s4,,s1
25-Nov,0.65,0,0.4,1,s4,,s1
26-Nov,0.65,0,0.4,1,s4,,s1
27-Nov,0.65,0,0.4,1,s4,,s1
28-Nov,0.65,0,0.4,1,s4,,s1
29-Nov,0.65,0,0.4,1,s4,,s1
30-Nov,0.65,0,0.4,1,s4,,s1
01-Dec,0.65,0,0.4,1,s4,,s1
02-Dec,0.65,0,0.4,1,s4,,s1
03-Dec,0.65,0,0.4,1,s4,,s1
04-Dec,0.65,0,0.4,1,s4,,s1
05-Dec,0.65,0,0.8,1,s4,,s1
06-Dec,0.65,0,0.8,1,s4,,s1
07-Dec,0.65,0,0.8,1,s4,,s1
08-Dec,0.65,0,0.8,1,s4,,s1
09-Dec,0.65,0,0.8,1,s4,,s1
10-Dec,0.65,0,0.8,1,s4,,s2
11-Dec,0.65,0,0.8,1,s4,,s2
12-Dec,0.65,0,0.8,1,s4,,s2
13-Dec,0.65,0,0.8,1,s4,,s2
14-Dec,0.65,0,0.8,1,s4,,s2
15-Dec,0.65,0,0.8,1,s4,,s2
16-Dec,0.65,0,0.8,1,s4,,s2
17-Dec,0.65,0,0.8,1,s4,,s2
18-Dec,0.65,0,0.8,1,s4,,s2
19-Dec,0.65,0,0.8,1,s4,,s2
20-Dec,0.65,0,0.8,1,s4,,s2
21-Dec,0.65,0,0.8,1,s4,,s2
22-Dec,0.65,0,0.8,1,s4,,s2
23-Dec,0.65,0,0.8,1,s4,,s2
24-Dec,0.65,0,0.8,1,s4,,s2
25-Dec,0.65,0,0.8,1,s4,,s2
26-Dec,0.65,0,0.8,1,s4,,s2
27-Dec,0,0,0.8,1,,,s2
28-Dec,0,0,0.8,1,,,s2
29-Dec,0,0,0.8,1,,,s2
30-Dec,0,0,1.2,1,,,s2
31-Dec,0,0,1.2,1,,,s2
01-Jan,0,0,1.2,1,,,s2
02-Jan,0,0,1.2,1,,,s2
03-Jan,0,0,1.2,1,,,s2
04-Jan,0,0,1.2,1,,,s2
05-Jan,0,0,1.2,1,,,s2
06-Jan,0,0,1.2,1,,,s2
07-Jan,0,0,1.2,1,,,s2
08-Jan,0,0,1.2,1,,,s2
09-Jan,0,0,1.2,1,,,s2
10-Jan,0,0,1.2,1,,,s2
11-Jan,0,0,1.2,1,,,s2
12-Jan,0,0,1.2,1,,,s2
13-Jan,0,0,1.2,1,,,s2
14-Jan,0,0,1.2,1,,,s3
15-Jan,0,0,1.2,1,,,s3
16-Jan,0,0,1.2,1,,,s3
17-Jan,0,0,1.2,1,,,s3
18-Jan,0,0,1.2,1,,,s3
19-Jan,0,0,1.2,1,,,s3
20-Jan,0,0,1.2,1,,,s3
21-Jan,0,0,1.2,1,,,s3
22-Jan,0,0,1.2,1,,,s3
23-Jan,0,0,1.2,1,,,s3
24-Jan,0,0,1.2,1,,,s3
25-Jan,0,0,1.2,1,,,s3
26-Jan,0,0,1.2,1,,,s3
27-Jan,0,0,1.2,1,,,s3
28-Jan,0,0,1.2,1,,,s3
